Pressure category #;0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 
Upper bound;0.025; 0.05; 0.075; 0.1; 0.125; 0.15; 0.175; 0.2; 0.225; 0.25; 0.275; 0.3; 0.325; 0.35; 0.375; 0.4; 0.425; 0.45; 0.475; 0.5; 0.525; 0.55; 0.575; 0.6; 0.625; 0.65; 0.675; 0.7; 0.725; 0.75; 0.775; 0.8; 0.825; 0.85; 0.875; 0.9; 0.925; 0.95; 0.975; 1; 1.025; 1.05; 1.075; 1.1; 1.125; 1.15; 1.175; 1.2; 1.225; 1.25; 1.275; 1.3; 1.325; 1.35; 1.375; 1.4; 1.425; 1.45; 1.475; 1.5; 1.525; 1.55; 1.575; 1.6; 1.625; 1.65; 1.675; 1.7; 1.725; 1.75; 1.775; 1.8; 1.85; 1.9; 1.95; 2; 2.1; 2.25; 2.45; 2.75; 3.1; 3.5; 4; 4.5; 5; 5.75; 6.5; 7.5; 8.5; 9.5; 11; 12.5; 14.5; 17; 20; 24; 28; 33; 38; 45; 
Small;0.000452314666435724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Medium;0.000283452614359204;3.25511855505015E-05;1.91846344743578E-05;1.33568594448378E-05;1.02011039537066E-05;8.25757910301452E-06;6.94756236376402E-06;6.00352140451963E-06;5.28716893194964E-06;4.72060454272616E-06;4.25708725593111E-06;3.86729300730958E-06;3.53220699717341E-06;3.23915301088608E-06;2.97945435772942E-06;2.74700785433479E-06;2.53739373528431E-06;2.34731073633591E-06;2.17421354635425E-06;2.01607843580642E-06;1.87125082436247E-06;1.73834534762508E-06;1.61617950526479E-06;1.50372874700859E-06;1.40009525316022E-06;1.3044855162443E-06;1.21619365907945E-06;1.13458858142118E-06;1.05910374676843E-06;9.89228861113993E-07;9.24502961502964E-07;8.64508592592593E-07;8.08866847087961E-07;7.5723310712322E-07;7.09293363559684E-07;6.64761017356652E-07;6.23374086535146E-07;5.84892756672409E-07;5.49097224013505E-07;5.15785789125533E-07;4.84773166119727E-07;4.55888978207493E-07;4.28976415022961E-07;4.03891030958758E-07;3.80499666896847E-07;3.58679480308086E-07;3.38317070848886E-07;3.19307690383949E-07;3.01554527876114E-07;2.84968060859064E-07;2.69465466287553E-07;2.54970084475991E-07;2.41410930616989E-07;2.28722249039512E-07;2.16843105939699E-07;2.05717016811871E-07;1.95291605234958E-07;1.85518290041093E-07;1.76351998216906E-07;1.67750901171204E-07;1.59676172251089E-07;1.52091763607042E-07;1.44964200700171E-07;1.38262392915171E-07;1.31957458893427E-07;1.26022565334779E-07;1.2043277813575E-07;1.15164924838483E-07;1.10197467459751E-07;1.05510384854639E-07;1.01085063845915E-07;9.69041984188118E-08;9.29516963429165E-08;8.56729693539034E-08;7.91412863870577E-08;7.32635486072838E-08;6.79591731823373E-08;5.88007438828151E-08;4.78967809198678E-08;3.70735044732689E-08;2.58452617964878E-08;1.72384174510293E-08;1.08764264884649E-08;6.04265305773069E-09;3.28451923306701E-09;1.73812013273989E-09;6.3098546195972E-10;2.10934528048057E-10;4.18181886158648E-11;6.59130506621592E-12;7.62714792480591E-13;1.23864021550877E-14;2.68754489548499E-17;0;0;0;0;0;0;0;
Major;0.000354513719537226;4.94194292853238E-05;3.79360762135559E-05;3.13710420203868E-05;2.67615127781859E-05;2.32572747680462E-05;2.04769637832851E-05;1.82093968063643E-05;1.63237428845027E-05;1.47328122875849E-05;1.33753312240047E-05;1.22064654080247E-05;1.11923617292794E-05;1.03068139429319E-05;9.5291265315885E-06;8.8426901021577E-06;8.23399741561076E-06;7.69194268295828E-06;7.20730941191587E-06;6.7723877951297E-06;6.38068359747637E-06;6.0266932081485E-06;5.70572749244459E-06;5.41377224279692E-06;5.14737647468218E-06;4.90356217358074E-06;4.67975075314885E-06;4.47370266483513E-06;4.28346745384862E-06;4.10734218402416E-06;3.94383662094296E-06;3.79164391379102E-06;3.64961578318445E-06;3.51674142659359E-06;3.39212951074821E-06;3.27499274287598E-06;3.16463460824906E-06;3.06043793665602E-06;2.9618550199069E-06;2.86839904996499E-06;2.77963668553337E-06;2.69518158597109E-06;2.61468877682496E-06;2.53784973220277E-06;2.46438807656578E-06;2.39405582296422E-06;2.32663007681529E-06;2.26191014445762E-06;2.19971499425376E-06;2.13988102523037E-06;2.08226010437028E-06;2.02671783888331E-06;1.97313205423484E-06;1.9213914525258E-06;1.87139442909478E-06;1.82304802803798E-06;1.77626701978274E-06;1.73097308596391E-06;1.68709409868666E-06;1.64456348285522E-06;1.60331965163668E-06;1.56330550634289E-06;1.52446799307341E-06;1.48675770939001E-06;1.45012855510579E-06;1.41453742198405E-06;1.37994391776678E-06;1.34631012050141E-06;1.31360035961629E-06;1.28178102061902E-06;1.25082037066441E-06;1.22068840256635E-06;1.19135669511753E-06;1.13498756845072E-06;1.08151288839069E-06;1.03075111759767E-06;9.82536760979587E-07;8.93156458525934E-07;7.74773537384102E-07;6.41717436469097E-07;4.84448923118012E-07;3.49357228152385E-07;2.40566006699514E-07;1.50992502333802E-07;9.49236047327541E-08;5.98671926289403E-08;3.02768219629094E-08;1.55422326540766E-08;6.53453307356804E-09;2.78760846919638E-09;1.18405742822245E-09;3.13303295048233E-10;7.61070212494458E-11;9.66653473672403E-12;4.76009218798925E-13;3.89244933335656E-15;2.26586177733989E-20;0;0;0;
Large;0.000559207485824321;0.00021031965967015;0.000172386944670581;0.000150684722624431;0.000135597467053468;0.000124095272693838;0.000114844191487061;0.000107139935093569;0.000100565044814955;9.48512875602247E-05;8.9815795051689E-05;8.5328144861787E-05;8.12919600624483E-05;7.76339485498053E-05;7.42970361270861E-05;7.1235885775993E-05;6.84138734990619E-05;6.58009871854915E-05;6.33723289622072E-05;6.11070229939364E-05;5.89874025080062E-05;5.69983935550037E-05;5.51270403247532E-05;5.33621342808352E-05;5.16939207567945E-05;5.0113864240373E-05;4.86144587336372E-05;4.71890731600164E-05;4.58318243226606E-05;4.45374717403493E-05;4.33013300164363E-05;4.21191953777087E-05;4.09872837524613E-05;3.99021783097436E-05;3.88607848034541E-05;3.78602933903272E-05;3.68981458446069E-05;3.59720072921226E-05;3.50797417454429E-05;3.42193908491409E-05;3.33891553468858E-05;3.25873788652993E-05;3.18125336773025E-05;3.10632081631042E-05;3.03380957324771E-05;2.96359850094081E-05;2.89557511111189E-05;2.82963478790407E-05;2.76568009405718E-05;2.703620149814E-05;2.6433700756875E-05;2.584850491459E-05;2.52798706481991E-05;2.47271010395116E-05;2.41895418908133E-05;2.3666578387019E-05;2.3157632066622E-05;2.26621580683476E-05;2.21796426244453E-05;2.17096007750434E-05;2.12515742810088E-05;2.08051297153822E-05;2.03698567157474E-05;1.99453663818844E-05;1.9531289804802E-05;1.91272767147679E-05;1.87329942372934E-05;1.83481257472008E-05;1.79723698119365E-05;1.76054392162015E-05;1.72470600607755E-05;1.68969709291192E-05;1.65549221159801E-05;1.58940009449377E-05;1.52625072428508E-05;1.46587984016156E-05;1.40813620767936E-05;1.29998254080382E-05;1.154280946169E-05;9.86612321484954E-06;7.81699365807222E-06;5.97689321198889E-06;4.41402249933424E-06;3.03721690610714E-06;2.10126475443707E-06;1.46139484595147E-06;8.55236262894278E-07;5.04845243581193E-07;2.51986966972756E-07;1.2599741528222E-07;6.26821157410715E-08;2.15611137106505E-08;7.16386857921732E-09;1.52387988136394E-09;1.81686519867644E-10;9.17618667531257E-12;4.72943114244602E-14;8.80716336642619E-18;0;0;
Total;0.00164948848615647;0.000292290274505976;0.000229507655358495;0.000195412624089656;0.00017256008378536;0.000155610126564899;0.00014226871763411;0.000131352853304453;0.000122175956631407;0.000114304704390536;0.000107448213531625;0.000101401903277121;9.60165287889012E-05;9.11799155036232E-05;8.6805617016404E-05;8.28255837324854E-05;7.9185264649957E-05;7.58402406047857E-05;7.27538519204773E-05;6.98954892248725E-05;6.7239336929845E-05;6.47634321107773E-05;6.24489473224626E-05;6.02796352706407E-05;5.82413924846368E-05;5.63219119301981E-05;5.45104031458655E-05;5.27973644062727E-05;5.11743955232777E-05;4.96340427854875E-05;4.81696695988822E-05;4.67753478840923E-05;4.54457663827337E-05;4.41761528434605E-05;4.2962207677762E-05;4.18000471505598E-05;4.06861545393911E-05;3.96173379854511E-05;3.85906939893633E-05;3.76035756882314E-05;3.66535651985389E-05;3.57384494294779E-05;3.48561988691504E-05;3.40049489262657E-05;3.31829834759398E-05;3.23887203126804E-05;3.16206982587831E-05;3.08775657138822E-05;3.01580704627016E-05;2.94610505842295E-05;2.87854263275329E-05;2.81301928379493E-05;2.74944136330509E-05;2.68772147410769E-05;2.62777794258477E-05;2.56953434318688E-05;2.51291906916397E-05;2.45786494443526E-05;2.40430887213489E-05;2.35219151590699E-05;2.30145701048965E-05;2.25205269853321E-05;2.20392889095209E-05;2.15703864841896E-05;2.11133758188012E-05;2.06678367020867E-05;2.0233370933196E-05;1.98096007925407E-05;1.93961676390125E-05;1.89927306216751E-05;1.85989654952858E-05;1.82145635301043E-05;1.78392305074406E-05;1.71146614827423E-05;1.64231614176286E-05;1.57628130678205E-05;1.51318580109555E-05;1.3951782610447E-05;1.2365479779994E-05;1.05449141557919E-05;8.32728784298672E-06;6.3434888575923E-06;4.66546493252222E-06;3.19425206149867E-06;2.19947287840289E-06;1.52300015871315E-06;8.86144070319147E-07;5.20598410763317E-07;2.5856331823494E-07;1.28791615056483E-07;6.38669358840865E-08;2.18744293921009E-08;7.23997562734221E-09;1.53354641610066E-09;1.82162529086443E-10;9.18007912464593E-12;4.7294334083078E-14;8.80716336642619E-18;0;0;
013-01-N1-G;6.52759405186485E-05;9.74551391805211E-06;6.77523111205366E-06;5.18080483725529E-06;4.16583340443862E-06;3.45964647146698E-06;2.93888649662195E-06;2.53890779544706E-06;2.22242825170175E-06;1.96630562978542E-06;1.75531695139718E-06;1.57897941909492E-06;1.42980754166587E-06;1.30229882055524E-06;1.19231304212586E-06;1.09667553318807E-06;1.01291355657569E-06;9.39075216724882E-07;8.73601605748223E-07;8.15234557992278E-07;7.6294891882028E-07;7.15902070307993E-07;6.73395824191966E-07;6.34847315809766E-07;5.99766540031292E-07;5.67738849330338E-07;5.38411200175331E-07;5.11481258933334E-07;4.86688708667735E-07;4.6380826365901E-07;4.42644018961886E-07;4.23024851015415E-07;4.04800651255502E-07;3.87839224118051E-07;3.72023718176812E-07;3.57250487571772E-07;3.43427302626755E-07;3.30471845302873E-07;3.18310438124617E-07;3.06876965361146E-07;2.96111953223987E-07;2.85961782158026E-07;2.76378009332274E-07;2.67316783462699E-07;2.58738337334329E-07;2.50606545996836E-07;2.42888540714161E-07;2.35554370454701E-07;2.2857670409409E-07;2.2193056763066E-07;2.1559311163477E-07;2.09543404907592E-07;2.03762250944858E-07;1.98232024312532E-07;1.92936524465086E-07;1.87860844889589E-07;1.82991255753545E-07;1.78315098481869E-07;1.73820690897271E-07;1.6949724173544E-07;1.65334773497308E-07;1.61324052729797E-07;1.57456526937453E-07;1.5372426742297E-07;1.50119917437483E-07;1.46636645093342E-07;1.43268100554751E-07;1.40008377076292E-07;1.36851975507279E-07;1.33793771921846E-07;1.30828988071646E-07;1.27953164390485E-07;1.25162135309035E-07;1.19819134999729E-07;1.14771730136885E-07;1.09995104667066E-07;1.05467391251259E-07;9.70835435664463E-08;8.595615582549E-08;7.33288971804679E-08;5.80542191153634E-08;4.43918180468229E-08;3.27667180498114E-08;2.24740935043222E-08;1.54393073879244E-08;1.06152527723282E-08;6.05153961881695E-09;3.44107979926408E-09;1.60562128868509E-09;7.35577455571955E-10;3.28395386227821E-10;9.20701518533775E-11;2.35749076674432E-11;3.20058779998203E-12;1.74006020379656E-13;2.05102068173799E-15;8.18253903412003E-19;0;0;0;
013-01-N2-G;5.4505932565512E-05;5.33478035012572E-06;3.4435815316941E-06;2.55771675224581E-06;2.03415581809981E-06;1.68331406876699E-06;1.42975551812363E-06;1.23725579951165E-06;1.08597560515709E-06;9.63978265031642E-07;8.63577870099493E-07;7.79574962388939E-07;7.08319563965851E-07;6.47173699978456E-07;5.94184044087255E-07;5.47873405717762E-07;5.07103409390024E-07;4.70981717839237E-07;4.38798035526453E-07;4.09979154526062E-07;3.84056835071347E-07;3.60644471300173E-07;3.3941985555149E-07;3.20112236205572E-07;3.02492443563658E-07;2.86365243245923E-07;2.71563334227413E-07;2.57942581871696E-07;2.45378193381406E-07;2.337616228435E-07;2.2299804811049E-07;2.13004300462773E-07;2.03707155797721E-07;1.95041916515197E-07;1.86951228573454E-07;1.79384089833334E-07;1.72295014773079E-07;1.65643327627697E-07;1.59392561476345E-07;1.53509945122015E-07;1.47965963039786E-07;1.42733976407977E-07;1.37789895429719E-07;1.33111894915365E-07;1.28680166517338E-07;1.24476702157589E-07;1.20485104118293E-07;1.16690418022175E-07;1.13078985544259E-07;1.09638314199492E-07;1.06356961962479E-07;1.03224434814192E-07;1.00231095590124E-07;9.73680827364238E-08;9.46272377741657E-08;9.20010404344537E-08;8.9482550564256E-08;8.70653560194391E-08;8.4743525861004E-08;8.25115682560091E-08;8.03643925583601E-08;7.82972751084456E-08;7.63058283459724E-08;7.43859728785321E-08;7.25339121904348E-08;7.07461097130488E-08;6.90192680099867E-08;6.73503098586345E-08;6.5736361034211E-08;6.4174734624264E-08;6.26629167206078E-08;6.11985533525286E-08;5.97794385399554E-08;5.70688059184495E-08;5.45159374877251E-08;5.2107507806463E-08;4.9831708075873E-08;4.56371592090948E-08;4.01118141997768E-08;3.39033154907473E-08;2.64849973256324E-08;1.99395689447257E-08;1.44463876987555E-08;9.660380780291E-09;6.45280030322728E-09;4.30171010333017E-09;2.32931621387722E-09;1.2507020431624E-09;5.35956185426798E-10;2.23330443999765E-10;8.98300676286555E-11;2.12095818487382E-11;4.54256642026205E-12;5.0101471007787E-13;2.2844593271582E-14;1.85310112277416E-16;1.07871938989703E-21;0;0;0;
013-01-C1-G;5.93375444609219E-05;9.30781829468607E-06;6.59528513814135E-06;5.12771470169512E-06;4.18497421177032E-06;3.52296315283679E-06;3.03022067719737E-06;2.6482492834728E-06;2.34326934718175E-06;2.09427053971856E-06;1.88739306840936E-06;1.7130592112241E-06;1.56440204253255E-06;1.43635153396492E-06;1.32507529557428E-06;1.22762077506686E-06;1.14167709298724E-06;1.06541103766426E-06;9.97350991299118E-07;9.36302993426832E-07;8.81288985224404E-07;8.31500699960921E-07;7.86264782068545E-07;7.45016086180358E-07;7.07277016771393E-07;6.7264138409893E-07;6.40761674911134E-07;6.11338931433814E-07;5.84114641101637E-07;5.58864189625801E-07;5.353915392449E-07;5.13524874387763E-07;4.93113016689514E-07;4.74022456053055E-07;4.56134878245942E-07;4.39345095216536E-07;4.2355930396827E-07;4.08693614966835E-07;3.94672802795262E-07;3.81429240945787E-07;3.68901989859735E-07;3.57036013054049E-07;3.45781500746608E-07;3.35093284066331E-07;3.24930325899705E-07;3.152552768285E-07;3.06034086567353E-07;2.97235662903838E-07;2.88831571447939E-07;2.80795770568484E-07;2.73104376775479E-07;2.65735456535067E-07;2.58668841106726E-07;2.51885961493609E-07;2.45369701015173E-07;2.39104263361661E-07;2.33075054284696E-07;2.27268575327072E-07;2.21672328205776E-07;2.16274728641904E-07;2.11065028584535E-07;2.06033245907301E-07;2.0117010076961E-07;1.96466957932227E-07;1.91915774401542E-07;1.87509051850292E-07;1.83239793326411E-07;1.79101463817439E-07;1.75087954286662E-07;1.711935488398E-07;1.67412894718544E-07;1.63740974850075E-07;1.60173082710805E-07;1.53331971944411E-07;1.46857291979622E-07;1.4072045012836E-07;1.34896025745765E-07;1.24096098207428E-07;1.09743487454665E-07;9.3453284206128E-08;7.37832090689729E-08;5.62606745770753E-08;4.14311812045764E-08;2.8381792862636E-08;1.95144502335604E-08;1.34586965325447E-08;7.74125857911805E-09;4.46313841737477E-09;2.13547619555781E-09;1.00958325124885E-09;4.67603918481964E-10;1.39825497875468E-10;3.86733191194245E-11;5.99636138831609E-12;4.26572271150174E-13;9.93727580532101E-15;1.52292489583251E-17;2.59393457739006E-22;0;0;
013-01-C2-G;5.996132456908E-05;5.76130229012802E-06;3.68092600008524E-06;2.70884434673957E-06;2.13687748269841E-06;1.75576465102383E-06;1.48209163510314E-06;1.27573770229021E-06;1.11469199429864E-06;9.85698871141639E-07;8.80227483202982E-07;7.92517622900165E-07;7.18537286200879E-07;6.55382720562337E-07;6.00912408213571E-07;5.53513829551789E-07;5.11949927877908E-07;4.75255488748683E-07;4.4266577764412E-07;4.13566514711278E-07;3.87458218450256E-07;3.63930370661701E-07;3.42642385850001E-07;3.23309360039449E-07;3.05691226321046E-07;2.89584377741647E-07;2.74815107772936E-07;2.61234412941515E-07;2.48713833156673E-07;2.37142094213359E-07;2.26422378153613E-07;2.16470090073591E-07;2.07211020722776E-07;1.9857982681761E-07;1.90518767902719E-07;1.8297665145815E-07;1.7590794785438E-07;1.69272044456323E-07;1.63032614215094E-07;1.57157078852583E-07;1.51616150526558E-07;1.46383438879226E-07;1.41435112785322E-07;1.36749608054074E-07;1.3230737390119E-07;1.28090652268817E-07;1.24083285093542E-07;1.20270545452582E-07;1.16638989194121E-07;1.13176324209473E-07;1.09871294956222E-07;1.06713580212182E-07;1.03693702345346E-07;1.00802946637591E-07;9.80332894098798E-08;9.53773338721361E-08;9.28282527682896E-08;9.03797370114568E-08;8.80259496098634E-08;8.57614842742767E-08;8.35813281749615E-08;8.14808283826361E-08;7.94556615852456E-08;7.75018067219768E-08;7.56155202189629E-08;7.37933135485383E-08;7.20319328664842E-08;7.03283405101738E-08;6.86796981654172E-08;6.70833515316287E-08;6.55368163341009E-08;6.40377655490051E-08;6.25840177216042E-08;5.98043696876758E-08;5.71829471898893E-08;5.47065554601039E-08;5.23634954989147E-08;4.80368884098281E-08;4.23206249949209E-08;3.58728606892308E-08;2.81313841152456E-08;2.12638976223137E-08;1.54701425321375E-08;1.03948138363372E-08;6.97435586169078E-09;4.6684731491899E-09;2.54161093449575E-09;1.37082200341049E-09;5.90179554195506E-10;2.46805625098405E-10;9.95745150178353E-11;2.36183395959255E-11;5.0845950904875E-12;5.64465794267071E-13;2.58393777799619E-14;2.09692993900356E-16;1.22065615172558E-21;0;0;0;
