Pressure category #;0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 
Upper bound;0.025; 0.05; 0.075; 0.1; 0.125; 0.15; 0.175; 0.2; 0.225; 0.25; 0.275; 0.3; 0.325; 0.35; 0.375; 0.4; 0.425; 0.45; 0.475; 0.5; 0.525; 0.55; 0.575; 0.6; 0.625; 0.65; 0.675; 0.7; 0.725; 0.75; 0.775; 0.8; 0.825; 0.85; 0.875; 0.9; 0.925; 0.95; 0.975; 1; 1.025; 1.05; 1.075; 1.1; 1.125; 1.15; 1.175; 1.2; 1.225; 1.25; 1.275; 1.3; 1.325; 1.35; 1.375; 1.4; 1.425; 1.45; 1.475; 1.5; 1.525; 1.55; 1.575; 1.6; 1.625; 1.65; 1.675; 1.7; 1.725; 1.75; 1.775; 1.8; 1.85; 1.9; 1.95; 2; 2.1; 2.25; 2.45; 2.75; 3.1; 3.5; 4; 4.5; 5; 5.75; 6.5; 7.5; 8.5; 9.5; 11; 12.5; 14.5; 17; 20; 24; 28; 33; 38; 45; 
Small;0.000250449457910247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Medium;0.000122096354496254;7.97330180498698E-06;4.24078735367074E-06;2.72878238423347E-06;1.93430745311413E-06;1.45474950258353E-06;1.1386733573394E-06;9.17103234958564E-07;7.5441547294308E-07;6.30539171321963E-07;5.33422567172678E-07;4.5546759345086E-07;3.91691773137519E-07;3.38715120343649E-07;2.94172962328776E-07;2.56362552885734E-07;2.24023980421503E-07;1.96200956953225E-07;1.72150482195356E-07;1.51283098340112E-07;1.33122639373114E-07;1.17278582869737E-07;1.03426650225214E-07;9.12948738371326E-08;8.06533408069938E-08;7.13064538866826E-08;6.30869544682356E-08;5.58512109440123E-08;4.94754406389988E-08;4.3852638625996E-08;3.8890054158709E-08;3.45070993707732E-08;3.06336042342594E-08;2.72083520561788E-08;2.41778443103289E-08;2.14952543075873E-08;1.91195372962814E-08;1.70146708231816E-08;1.51490040785173E-08;1.34946988296757E-08;1.20272476488627E-08;1.07250576295854E-08;9.56908979551654E-09;8.54254603440514E-09;7.63059671801606E-09;6.82014325796672E-09;6.09961074459992E-09;5.45876655898841E-09;4.88856146600048E-09;4.38099021200332E-09;3.92896908249227E-09;3.52622823742352E-09;3.16721694732106E-09;2.84702011117721E-09;2.56128465587837E-09;2.30615460297408E-09;2.07821374750588E-09;1.87443502976529E-09;1.69213579789152E-09;1.52893826014751E-09;1.38273451297435E-09;1.2516556065463E-09;1.13404417522238E-09;1.02843021742659E-09;9.33509659286241E-10;8.48125379843593E-10;7.71250413694593E-10;7.01973080242747E-10;6.39483818018447E-10;5.83063528244273E-10;5.32073254478061E-10;4.85945045139951E-10;4.44173863360199E-10;3.71954852714584E-10;3.12381820653071E-10;2.63046129072781E-10;2.22031168306604E-10;1.59150946239702E-10;9.76591190875875E-11;5.14555990635458E-11;1.96386865035245E-11;6.16401844943132E-12;1.50976409404203E-12;2.16567893913805E-13;2.32973233417782E-14;1.66373541364064E-15;9.06272628564725E-18;1.73324283954454E-21;0;0;0;0;0;0;0;0;0;0;0;0;
Major;0.000173770368559139;1.30921444934304E-05;9.14112121984731E-06;7.09393958925985E-06;5.76062274298222E-06;4.80447606960801E-06;4.08106563078997E-06;3.51434693401431E-06;3.05928881126736E-06;2.68707875586251E-06;2.37821959339594E-06;2.11894113222484E-06;1.89918438589102E-06;1.71139975994532E-06;1.549795362523E-06;1.4098473840705E-06;1.28796966003986E-06;1.18128366464862E-06;1.08745413692227E-06;1.00456897730975E-06;9.31049835745146E-07;8.65584476120279E-07;8.07074899153395E-07;7.54597064783799E-07;7.073692806402E-07;6.64727150035366E-07;6.26103542944516E-07;5.91012453578121E-07;5.59035893649747E-07;5.29813177234027E-07;5.03032104949195E-07;4.78421667978605E-07;4.55745977054165E-07;4.34799185557051E-07;4.15401224706661E-07;3.97394206249242E-07;3.80639376939285E-07;3.65014531531497E-07;3.50411808543151E-07;3.36735806882272E-07;3.23901972443962E-07;3.11835212608476E-07;3.00468703717202E-07;2.89742862418754E-07;2.79604456539384E-07;2.70005835048105E-07;2.60904259919643E-07;2.52261325376846E-07;2.44042452221165E-07;2.36216446817616E-07;2.28755115855363E-07;2.21632929310111E-07;2.14826725133143E-07;2.08315450119639E-07;2.02079932194348E-07;1.9610268001956E-07;1.90367706397644E-07;1.8486037242433E-07;1.79567249762358E-07;1.74475998759185E-07;1.69575260436147E-07;1.64854560637394E-07;1.60304224851464E-07;1.55915302411763E-07;1.5167949894911E-07;1.47589116113652E-07;1.4363699770814E-07;1.39816481482542E-07;1.36121355933597E-07;1.32545821534242E-07;1.29084455888479E-07;1.25732182368752E-07;1.22484241846622E-07;1.16283760112948E-07;1.10450377054492E-07;1.04955138344532E-07;9.97722407739037E-08;9.02534563918773E-08;7.78107756033657E-08;6.40242927195508E-08;4.79579260449136E-08;3.43212607728577E-08;2.34367913429101E-08;1.45468630143166E-08;9.030889729979E-09;5.61608859285546E-09;2.77434009124743E-09;1.38886980139783E-09;5.64839183052062E-10;2.33665458241594E-10;9.65040163857618E-11;2.45465901696358E-11;5.74772531209242E-12;7.03414731028892E-13;3.39980226523205E-14;2.77486272378506E-16;1.61529442987194E-21;0;0;0;
Large;0.000207289623507798;4.24025320914073E-05;2.98921865161784E-05;2.33204296315943E-05;1.91703336480423E-05;1.62835307606987E-05;1.41471928718073E-05;1.24973971568595E-05;1.11834435042572E-05;1.01122024935202E-05;9.22249061298416E-06;8.47217460537507E-06;7.83116839176384E-06;7.27737176070253E-06;6.7941810496842E-06;6.36889100063032E-06;5.99162819286638E-06;5.65461628856716E-06;5.35165690327301E-06;5.07775538225018E-06;4.82884657199257E-06;4.60159102734956E-06;4.39322166570407E-06;4.20142707793668E-06;4.02426182214626E-06;3.86007681088107E-06;3.70746481864519E-06;3.56521747538198E-06;3.43229106104329E-06;3.30777909876438E-06;3.19089024038411E-06;3.08093030225771E-06;2.97728757881078E-06;2.87942076226363E-06;2.78684894794065E-06;2.69914331878647E-06;2.61592018968637E-06;2.53683515890905E-06;2.46157816555554E-06;2.38986929204316E-06;2.32145518212677E-06;2.25610596979742E-06;2.19361263412247E-06;2.13378471083548E-06;2.07644830410497E-06;2.02144435205876E-06;1.96862710782256E-06;1.91786280444534E-06;1.86902847744463E-06;1.82201092306125E-06;1.77670577386255E-06;1.7330166762342E-06;1.69085455667912E-06;1.65013696580157E-06;1.61078749047429E-06;1.57273522603363E-06;1.53591430147298E-06;1.50026345155032E-06;1.46572563052385E-06;1.43224766290844E-06;1.39977992722366E-06;1.36827606920086E-06;1.33769274134369E-06;1.30798936610524E-06;1.27912792026524E-06;1.2510727383682E-06;1.22379033332656E-06;1.19724923250413E-06;1.17141982778133E-06;1.14627423826646E-06;1.12178618446064E-06;1.09793087281009E-06;1.07468488969168E-06;1.02993357738647E-06;9.87369024220973E-07;9.46844603497752E-07;9.08228121108493E-07;8.3625155966772E-07;7.39936957188288E-07;6.29891659536525E-07;4.96350593308981E-07;3.77184858619786E-07;2.76513902038774E-07;1.88334106643924E-07;1.28798876638544E-07;8.84176153776747E-08;5.05982837483656E-08;2.91059976634353E-08;1.39574952249409E-08;6.65912167766925E-09;3.13749621852911E-09;9.80349717642764E-10;2.9126737130621E-10;5.24693701536764E-11;5.02254055888228E-12;1.97709494754259E-13;7.35658942887739E-16;6.86360976103615E-20;0;0;
Total;0.000753605804473438;6.34679783898247E-05;4.32740950896965E-05;3.31431516050876E-05;2.68652638441387E-05;2.25427563328902E-05;1.93669318599367E-05;1.69288473258323E-05;1.49971477884676E-05;1.34298204207047E-05;1.21341327735528E-05;1.10465833310508E-05;1.01220445507924E-05;9.3274866409915E-06;8.63814937453598E-06;8.03510093758655E-06;7.50362183332774E-06;7.03210091016901E-06;6.61126152239064E-06;6.23360745790004E-06;5.89301904711083E-06;5.58445408633957E-06;5.30372321508268E-06;5.04731901655761E-06;4.81228444359346E-06;4.59611041480311E-06;4.39665531605794E-06;4.21208113990411E-06;4.04080239533203E-06;3.88144491462441E-06;3.73281239949202E-06;3.59385906960709E-06;3.46366716009921E-06;3.34142829987686E-06;3.22642801695764E-06;3.1180327793433E-06;3.01567910392194E-06;2.91886436126372E-06;2.8271389781772E-06;2.74009979775511E-06;2.65738440221959E-06;2.57866624003548E-06;2.50365042763519E-06;2.43207011928864E-06;2.36368335736237E-06;2.29827033036483E-06;2.2356309784868E-06;2.17558289638118E-06;2.1179594911318E-06;2.06260836009086E-06;2.0093898588004E-06;1.95817583378174E-06;1.90884849875959E-06;1.86129943603239E-06;1.81542870732452E-06;1.77114406065616E-06;1.72836022161813E-06;1.68699825900442E-06;1.6469850160841E-06;1.60825259992777E-06;1.57073792217278E-06;1.5343822854448E-06;1.49913101037037E-06;1.46493309873443E-06;1.43174092887363E-06;1.3995099798617E-06;1.3681985814484E-06;1.33776768706691E-06;1.30818066753294E-06;1.27940312332895E-06;1.2514027136036E-06;1.22414900022399E-06;1.19761330540166E-06;1.14658929235214E-06;1.09813178309612E-06;1.05206278797136E-06;1.0082223930507E-06;9.26664167005837E-07;8.17845391910742E-07;6.93967407855139E-07;5.44328158040398E-07;4.11512283411093E-07;2.99952203145778E-07;2.02881186226134E-07;1.37829789665846E-07;9.40337056342656E-08;5.33726238486757E-08;3.04948674648349E-08;1.4522334407993E-08;6.89278713591085E-09;3.23400023491487E-09;1.0048963078124E-09;2.97015096618303E-10;5.31727848847053E-11;5.0565385815346E-12;1.97986981026638E-13;7.35660558182169E-16;6.86360976103615E-20;0;0;
013-01-N1-G;2.98787656206256E-05;1.00145171192237E-06;5.1304640591059E-07;3.26707817437903E-07;2.32438477595206E-07;1.76760027032994E-07;1.40399437147742E-07;1.14965929879884E-07;9.62815791282716E-08;8.20409548066508E-08;7.08678838246748E-08;6.1891002573733E-08;5.4533622835296E-08;4.8400815226489E-08;4.32145723264533E-08;3.87746010454756E-08;3.49336280796046E-08;3.15813338584E-08;2.86336260643218E-08;2.60253273403161E-08;2.37051051175647E-08;2.16319057065353E-08;1.97724149380321E-08;1.80992290551828E-08;1.65895225922114E-08;1.52240673572752E-08;1.39865016206575E-08;1.28627790997366E-08;1.18407482304982E-08;1.09098266775602E-08;1.00607461226792E-08;9.28534944988558E-09;8.57642743606584E-09;7.92758559103413E-09;7.33313430560802E-09;6.78799726045674E-09;6.28763433325762E-09;5.82797616625877E-09;5.40536822625528E-09;5.01652267844631E-09;4.65847675681018E-09;4.32855658333348E-09;4.02434559261923E-09;3.74365687522327E-09;3.48450887515704E-09;3.24510397321993E-09;3.023809564555E-09;2.81914130069927E-09;2.62974821682821E-09;2.45439950635682E-09;2.29197273940465E-09;2.14144335025538E-09;2.00187524293194E-09;1.87241238422302E-09;1.75227127061338E-09;1.64073417012982E-09;1.5371430525466E-09;1.44089413205226E-09;1.35143295564812E-09;1.26824997846772E-09;1.19087657406766E-09;1.11888143370778E-09;1.05186731384378E-09;9.89468095611154E-10;9.31346124077002E-10;8.7718979855564E-10;8.26711388389216E-10;7.79645051341853E-10;7.35745034190884E-10;6.94784037261792E-10;6.56551726577072E-10;6.20853379002877E-10;5.87508647305857E-10;5.27223859243201E-10;4.74501653343912E-10;4.28313591197794E-10;3.87774208361222E-10;3.2069483303707E-10;2.46491686484329E-10;1.80038328090165E-10;1.19350166857902E-10;7.7829080011304E-11;4.88437008931071E-11;2.71505879396157E-11;1.47679344815214E-11;7.81639137990337E-12;2.83764617392471E-12;9.48607939581243E-13;1.88063405820962E-13;2.96422040405466E-14;3.43005630544004E-15;5.57037273075517E-17;1.20863400130607E-19;0;0;0;0;0;0;0;
013-01-N2-G;2.49628968445002E-05;5.53676562339069E-07;2.82130237237126E-07;1.75292059807391E-07;1.20202959939843E-07;8.76096587305316E-08;6.66113537621314E-08;5.2264650120559E-08;4.20228696611135E-08;3.44525940081656E-08;2.86934224662173E-08;2.42035418058025E-08;2.06289589668139E-08;1.77314124593191E-08;1.53463922189213E-08;1.33576514675395E-08;1.16812339397028E-08;1.02552172182317E-08;9.03299729796318E-09;7.97881830600038E-09;7.06475111963731E-09;6.2686203042229E-09;5.57255934554979E-09;4.96198709876266E-09;4.42487012774319E-09;3.95118168259737E-09;3.53249790729756E-09;3.16169133058642E-09;2.83269446276152E-09;2.54031476499106E-09;2.28008789203515E-09;2.04815990592343E-09;1.84119174730293E-09;1.65628104258381E-09;1.4908975833195E-09;1.34282971060723E-09;1.21013948464949E-09;1.09112499412667E-09;9.84288513184656E-10;8.88309480392625E-10;8.02021477736323E-10;7.24392545257705E-10;6.54508290254548E-10;5.91557347550962E-10;5.34818825365859E-10;4.83651434184641E-10;4.3748404707426E-10;3.95807481555624E-10;3.58167327346659E-10;3.24157672457299E-10;2.93415603376985E-10;2.65616374339443E-10;2.40469156604087E-10;2.1771329195224E-10;1.97114985647177E-10;1.7846438334658E-10;1.61572984209592E-10;1.4627134897235E-10;1.32407067290559E-10;1.19842953340179E-10;1.08455442669016E-10;9.81331667178913E-11;8.87756843738786E-11;8.02923524564074E-11;7.26013192332412E-11;6.56286269700242E-11;5.93074111774905E-11;5.35771856706528E-11;4.83832038241029E-11;4.36758875221582E-11;3.94103162823348E-11;3.55457698938621E-11;3.20453186742218E-11;2.60057693119422E-11;2.10589936516416E-11;1.70130396119291E-11;1.37093645451864E-11;8.82724285044628E-12;4.45280166604221E-12;1.69616306744144E-12;3.46889198155605E-13;4.13729402886092E-14;2.17382523015246E-15;1.47760617904432E-17;3.55182122826107E-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
013-01-C1-G;2.73151514946347E-05;1.15722311613653E-06;6.30350668696462E-07;4.14113757008414E-07;2.99542998516547E-07;2.29754598028853E-07;1.83166133951787E-07;1.50025877589282E-07;1.25364336859292E-07;1.06396166062048E-07;9.14340909912334E-08;7.93916130143778E-08;6.95359087084545E-08;6.13550014806075E-08;5.44811638415074E-08;4.86441685286468E-08;4.36415033021415E-08;3.93187679824086E-08;3.55564340120639E-08;3.22606991413682E-08;2.93570425761194E-08;2.67855998771158E-08;2.44977889470266E-08;2.24538124478194E-08;2.06207848908794E-08;1.8971311903575E-08;1.74824012849161E-08;1.61346203940153E-08;1.49114382996787E-08;1.37987077767911E-08;1.27842540526045E-08;1.18575456997364E-08;1.10094292413517E-08;1.02319135551966E-08;9.51799350221448E-09;8.86150468623418E-09;8.2570031040426E-09;7.69966483714327E-09;7.18520198931073E-09;6.70979187612207E-09;6.27001708836941E-09;5.86281452770255E-09;5.48543188448265E-09;5.13539031983726E-09;4.81045234478344E-09;4.50859407278661E-09;4.22798116869565E-09;3.96694793467481E-09;3.72397906874727E-09;3.49769370865074E-09;3.28683143658199E-09;3.09023997194961E-09;2.90686432171412E-09;2.73573719303892E-09;2.57597050219178E-09;2.42674783801832E-09;2.28731775872441E-09;2.15698781785514E-09;2.03511922981142E-09;1.92112209746914E-09;1.81445113483842E-09;1.71460182653319E-09;1.62110697336869E-09;1.5335335798732E-09;1.45148004506366E-09;1.37457362263403E-09;1.30246812085669E-09;1.23484181609817E-09;1.17139555698152E-09;1.11185103895429E-09;1.05594923140157E-09;1.00344894152354E-09;9.54125501019846E-10;8.64185999688483E-10;7.84620572324199E-10;7.14116005995179E-10;6.51529501333288E-10;5.46259028141621E-10;4.26701493970343E-10;3.15991516419516E-10;2.11196616437764E-10;1.37737304276428E-10;8.62312339543856E-11;4.78541598662171E-11;2.60197134225291E-11;1.37712740349651E-11;4.99949082929516E-12;1.67129953822899E-12;3.31338448892791E-13;5.22249496954691E-14;6.04322532019551E-15;9.81412972027223E-17;2.12942498581085E-19;0;0;0;0;0;0;0;
013-01-C2-G;2.73787624153294E-05;5.43268924929542E-07;2.70635571616428E-07;1.66034279606332E-07;1.13233537892724E-07;8.25109716398309E-08;6.29252227091181E-08;4.96026916924564E-08;4.00875585782951E-08;3.30276015647723E-08;2.76260801453812E-08;2.33880809386874E-08;1.99929769950653E-08;1.72256963262603E-08;1.49375575544715E-08;1.30229588086385E-08;1.14050152202923E-08;1.002645718528E-08;8.84372339257434E-09;7.82304504601192E-09;6.93779807590793E-09;6.16667773182925E-09;5.49241542507072E-09;4.90085890957687E-09;4.38029995787324E-09;3.92097356039563E-09;3.51467819719457E-09;3.1544832155907E-09;2.83450008028385E-09;2.5497013202173E-09;2.29577569446447E-09;2.06901127112692E-09;1.86620029211562E-09;1.68456122498783E-09;1.52167449825351E-09;1.37542921689824E-09;1.243978749968E-09;1.12570353165889E-09;1.01917976161612E-09;9.23152956315826E-10;8.36515510523306E-10;7.58287589842549E-10;6.87600802838137E-10;6.23684202149546E-10;5.65852244518646E-10;5.1349440432227E-10;4.66066187527979E-10;4.2308133560466E-10;3.84105043810348E-10;3.4874804695941E-10;3.16661449408097E-10;2.87532195515498E-10;2.61079092983298E-10;2.37049314861985E-10;2.15215317133159E-10;1.95372118043375E-10;1.77334893108207E-10;1.60936846197205E-10;1.46027322573126E-10;1.32470134373573E-10;1.20142072937017E-10;1.08931585708039E-10;9.87375983060926E-11;8.94684647877001E-11;8.10410312389889E-11;7.33797996576209E-11;6.64161806643373E-11;6.008782496052E-11;5.43380246493337E-11;4.91151765887741E-11;4.43723008656438E-11;4.00666082879446E-11;3.61591115039196E-11;2.93996996310359E-11;2.38457391561374E-11;1.9290623979097E-11;1.55623532537768E-11;1.00373877759804E-11;5.07061180043899E-12;1.93280429828637E-12;3.95202556958599E-13;4.70845953926177E-14;2.46877317978386E-15;1.6734337140856E-17;4.01916612671647E-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
