Strong explosion frequency;
Leak category; Total; Event; Continuous; Discrete; Early; Intermediate; Late; 013-01-N1-G; 013-01-N2-G; 013-01-C1-G; 013-01-C2-G; 020-01-01-G; 020-02-02-G; 020-03-02-G; 020-04-02-G; 020-05-01-G; 023-01-01-G-D; 023-02-01-G-D; 023-03-01-G-D; 023-04-G; 024-01-01-G; 024-02-G-D; 024-03-01-G; 025-01-01-G; 025-02-01-G; 027-01-G-D; 027-02-G; 027-03-G; 043-03-G; 045-01-G; 045-02-01-G; 045-03-G; 043-01-01-G; 043-02-01-G; 
Small; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Medium; 4.84773166119727E-07; 0; 4.92966040347025E-08; 4.35476562085024E-07; 0; 2.90526175468665E-08; 4.5572054857286E-07; 2.02856307956167E-08; 1.76103856791005E-08; 1.67157195843018E-08; 1.72246998749167E-08; 2.56459788414691E-08; 1.09464256844234E-09; 3.31084976193546E-13; 0; 5.68643885321462E-09; 3.74176567781857E-12; 1.24962137675289E-09; 1.19457042280555E-07; 2.00197204410325E-10; 3.8830054418032E-08; 4.69775568585393E-08; 1.22453314883964E-08; 2.08652461817862E-08; 3.55114084739277E-08; 5.9580037607036E-08; 2.10001174206653E-08; 2.69605614868277E-09; 0; 9.69831493763449E-09; 1.21946126755924E-08; 0; 0; 0;
Major; 2.77963668553337E-06; 0; 1.02848637219571E-06; 1.75115031333766E-06; 0; 1.3283769204116E-06; 1.45125976512177E-06; 4.39599903825097E-08; 3.08505368828337E-08; 6.9293499173603E-08; 2.1793641689862E-08; 2.48317726535167E-07; 2.97745445116552E-11; 0; 0; 4.34010951932595E-08; 0; 8.13967800989208E-12; 1.67612224511314E-07; 3.67977322274405E-14; 3.73841667273952E-07; 4.15694549279503E-07; 1.06748428558155E-07; 2.0373976345797E-07; 3.5417742456245E-07; 3.7256852286219E-07; 1.91742128827557E-07; 2.69487632337616E-08; 0; 1.0170806709949E-07; 7.20070498954058E-09; 0; 0; 0;
Large; 3.33891553468857E-05; 6.77228262412837E-08; 2.99312648000918E-05; 3.39016772055261E-06; 1.51030888048105E-05; 1.80234081408317E-05; 2.62658401243544E-07; 2.31866332045861E-07; 9.95050404778515E-08; 2.8289277110183E-07; 1.12597808961779E-07; 3.18841192835277E-06; 2.28252498260269E-09; 5.65057621079864E-10; 1.13011524215973E-10; 5.66203844217056E-07; 3.50335725069516E-09; 3.97667717081218E-09; 4.58246896937474E-07; 1.36343217284989E-09; 5.22101443664144E-06; 5.71590561132494E-06; 1.64332286325592E-06; 2.39546991935181E-06; 5.20874279998603E-06; 4.44527424116607E-06; 2.1491314519653E-06; 4.18470537586735E-07; 0; 1.21951597215981E-06; 2.01007614854847E-08; 1.13011524215973E-10; 4.52046096863891E-10; 1.13011524215973E-10;
Total; 3.66535651985388E-05; 6.77228262412837E-08; 3.10090477763223E-05; 5.5767945959753E-06; 1.51030888048105E-05; 1.93808376787901E-05; 2.16963871493817E-06; 2.96111953223987E-07; 1.47965963039786E-07; 3.68901989859735E-07; 1.51616150526558E-07; 3.4623756337294E-06; 3.40694209555668E-09; 5.65388706056058E-10; 1.13011524215973E-10; 6.15291378263531E-07; 3.50709901637298E-09; 5.23443822557495E-09; 7.45316163729343E-07; 1.56366617499244E-09; 5.63368615833343E-06; 6.17857771746298E-06; 1.76231662330247E-06; 2.62007492899157E-06; 5.5984316330224E-06; 4.8774228016353E-06; 2.36187369821353E-06; 4.4811535696918E-07; 0; 1.33092235419694E-06; 3.94960791506177E-08; 1.13011524215973E-10; 4.52046096863891E-10; 1.13011524215973E-10;


Strong explosion probability;
Leak category; Total; Event; Continuous; Discrete; Early; Intermediate; Late; 013-01-N1-G; 013-01-N2-G; 013-01-C1-G; 013-01-C2-G; 020-01-01-G; 020-02-02-G; 020-03-02-G; 020-04-02-G; 020-05-01-G; 023-01-01-G-D; 023-02-01-G-D; 023-03-01-G-D; 023-04-G; 024-01-01-G; 024-02-G-D; 024-03-01-G; 025-01-01-G; 025-02-01-G; 027-01-G-D; 027-02-G; 027-03-G; 043-03-G; 045-01-G; 045-02-01-G; 045-03-G; 043-01-01-G; 043-02-01-G; 
Small; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
