Strong explosion frequency;
Leak category; Total; Event; Continuous; Discrete; Early; Intermediate; Late; 013-01-N1-G; 013-01-N2-G; 013-01-C1-G; 013-01-C2-G; 020-01-01-G; 020-02-02-G; 020-03-02-G; 020-04-02-G; 020-05-01-G; 023-01-01-G-D; 023-02-01-G-D; 023-03-01-G-D; 023-04-G; 024-01-01-G; 024-02-G-D; 024-03-01-G; 025-01-01-G; 025-02-01-G; 027-01-G-D; 027-02-G; 027-03-G; 043-03-G; 045-01-G; 045-02-01-G; 045-03-G; 043-01-01-G; 043-02-01-G; 
Small; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Medium; 1.20272476488627E-08; 0; 3.93209346223839E-09; 8.09515418662431E-09; 0; 7.09037598327284E-09; 4.93687166558986E-09; 3.23137346740381E-10; 2.64378793255016E-10; 1.85552802678789E-10; 2.31665104904997E-10; 8.72235249870994E-10; 2.56009265312441E-14; 0; 0; 1.15445801427001E-10; 0; 1.0594215416846E-20; 4.07620583864846E-09; 0; 9.00696151163904E-10; 1.04173192208728E-09; 2.70646395970751E-10; 4.08819454650457E-10; 8.31186303538193E-10; 2.06935522093475E-09; 3.06591874318761E-10; 3.94988380222944E-11; 0; 5.45501019472984E-11; 3.55248477662444E-11; 0; 0; 0;
Major; 3.23901972443962E-07; 0; 1.70194873346553E-07; 1.53707099097409E-07; 0; 2.49286900044493E-07; 7.46150723994695E-08; 8.85261010926893E-11; 8.51862424377578E-12; 4.52795966098702E-10; 6.10475850741906E-12; 5.79879165832314E-08; 0; 0; 0; 1.61407714267014E-09; 0; 0; 4.62070830192686E-11; 0; 5.9436671633487E-08; 6.85155363076584E-08; 1.76079287917697E-08; 2.55309877448079E-08; 5.7348272381465E-08; 1.89821355549543E-08; 1.15202968756921E-08; 1.61723688848011E-09; 0; 3.1387600067845E-09; 0; 0; 0; 0;
Large; 2.32145518212677E-06; 3.11010676939027E-08; 2.09804606850065E-06; 1.92308045932213E-07; 1.36443689592321E-06; 9.55990554738139E-07; 1.02773146542321E-09; 4.24681330897711E-09; 5.29124060237531E-10; 5.63166831959191E-09; 5.9874564711089E-10; 9.35180508618798E-07; 0; 0; 0; 1.29818189957208E-08; 0; 0; 2.43675554056758E-09; 0; 2.97853446496638E-07; 3.26414735886727E-07; 9.38442365674341E-08; 1.35245886573403E-07; 2.97853446496638E-07; 9.64661137487973E-08; 6.46465956803756E-08; 1.95644452718909E-08; 0; 2.79608409138602E-08; 0; 0; 0; 0;
Total; 2.65738440221959E-06; 3.11010676939027E-08; 2.27217303530945E-06; 3.54110299216246E-07; 1.36443689592321E-06; 1.2123678307659E-06; 8.05796755304826E-08; 4.65847675681018E-09; 8.02021477736323E-10; 6.27001708836941E-09; 8.36515510523306E-10; 9.940406604519E-07; 2.56009265312441E-14; 0; 0; 1.4711341939818E-08; 0; 1.0594215416846E-20; 6.55916846223531E-09; 0; 3.58190814281289E-07; 3.95972004116473E-07; 1.11722811755174E-07; 1.61185693772862E-07; 3.56032905181642E-07; 1.17517604524686E-07; 7.64734844303865E-08; 2.12211809983934E-08; 0; 3.1154151022592E-08; 3.55248477662444E-11; 0; 0; 0;


Strong explosion probability;
Leak category; Total; Event; Continuous; Discrete; Early; Intermediate; Late; 013-01-N1-G; 013-01-N2-G; 013-01-C1-G; 013-01-C2-G; 020-01-01-G; 020-02-02-G; 020-03-02-G; 020-04-02-G; 020-05-01-G; 023-01-01-G-D; 023-02-01-G-D; 023-03-01-G-D; 023-04-G; 024-01-01-G; 024-02-G-D; 024-03-01-G; 025-01-01-G; 025-02-01-G; 027-01-G-D; 027-02-G; 027-03-G; 043-03-G; 045-01-G; 045-02-01-G; 045-03-G; 043-01-01-G; 043-02-01-G; 
Small; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Medium; 9.85061978179836E-05; 0; 5.10195312142092E-05; 0.000375125609227527; 0; 0.000122473467523444; 0.000438126741181512; 6.62452620988445E-05; 6.06492979226019E-05; 4.26087084761622E-05; 4.92635085591501E-05; 0.000173132488432116; 2.49216165542161E-08; 0; 0; 8.69109664921208E-05; 0; 3.05777594409912E-15; 0.000175990487295071; 0; 0.000104228148348907; 9.93447834993281E-05; 9.93799646114318E-05; 8.37097953182781E-05; 0.000102118487955493; 0.000171999693678407; 5.21283763686702E-05; 5.42826505058538E-05; 0; 1.62546800796166E-05; 5.49119913086769E-06; 0; 0; 0;
Major; 0.00186396550303529; 0; 0.00228279458621637; 0.0170916416739154; 0; 0.00635293953053386; 0.0218621560280754; 1.40098670805168E-05; 1.5428528992023E-06; 7.54701031005831E-05; 1.03167687693017E-06; 0.00882455072252194; 0; 0; 0; 0.000720660151833022; 0; 0; 1.5426961483958E-06; 0; 0.00467711945222548; 0.00466715304502206; 0.00467087810341927; 0.00325751310232128; 0.00445334271301826; 0.00113388341754596; 0.00136952775505547; 0.00140779107589557; 0; 0.000584408772242848; 0; 0; 0; 0;
Large; 0.0111990901562877; 0.000382098742961041; 0.0171214108723226; 0.0573209548853067; 0.0069557495727161; 0.0861983904684163; 0.0260439238179562; 0.000551824543144349; 9.89793855713037E-05; 0.000779536539171003; 9.93996886181401E-05; 0.0704310022559301; 0; 0; 0; 0.00436160040923332; 0; 0; 9.89793855713037E-05; 0; 0.0141193130128323; 0.0141193130128324; 0.0141193130128323; 0.0110767053335003; 0.0141193133382408; 0.00438193117613631; 0.00624779100815073; 0.00878568321678727; 0; 0.00436160040923332; 0; 0; 0; 0;
Total; 0.00352622602751364; 7.07136543695881E-05; 0.00817678449555109; 0.00986165362631953; 0.00217596867961935; 0.0109558704338835; 0.00506836097751375; 0.000155912624234864; 3.21285419209278E-05; 0.000229543558987801; 3.0553444959767E-05; 0.0286474694955473; 4.56789203279629E-09; 0; 0; 0.00158140154392808; 0; 5.92412446659259E-16; 5.38026463057926E-05; 0; 0.00599331482642893; 0.00579365300221352; 0.00590880611695152; 0.0047494969354554; 0.00622562331008285; 0.00156483024749101; 0.00204642680364276; 0.00362668502069389; 0; 0.00137771866515554; 8.99135745881947E-07; 0; 0; 0;
