Pressure category #;0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 
Upper bound;0.025; 0.05; 0.075; 0.1; 0.125; 0.15; 0.175; 0.2; 0.225; 0.25; 0.275; 0.3; 0.325; 0.35; 0.375; 0.4; 0.425; 0.45; 0.475; 0.5; 0.525; 0.55; 0.575; 0.6; 0.625; 0.65; 0.675; 0.7; 0.725; 0.75; 0.775; 0.8; 0.825; 0.85; 0.875; 0.9; 0.925; 0.95; 0.975; 1; 1.025; 1.05; 1.075; 1.1; 1.125; 1.15; 1.175; 1.2; 1.225; 1.25; 1.275; 1.3; 1.325; 1.35; 1.375; 1.4; 1.425; 1.45; 1.475; 1.5; 1.525; 1.55; 1.575; 1.6; 1.625; 1.65; 1.675; 1.7; 1.725; 1.75; 1.775; 1.8; 1.85; 1.9; 1.95; 2; 2.1; 2.25; 2.45; 2.75; 3.1; 3.5; 4; 4.5; 5; 5.75; 6.5; 7.5; 8.5; 9.5; 11; 12.5; 14.5; 17; 20; 24; 28; 33; 38; 45; 
Small;8.01441199007429E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Medium;1.84419314847702E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Major;3.31768555851392E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Large;0.000152527023114421;3.9910821826381E-05;3.44004954881456E-05;3.10850713762628E-05;2.86469788203657E-05;2.67158493875567E-05;2.51203564327359E-05;2.37618348529907E-05;2.25782041883386E-05;2.15285562958627E-05;2.05849851804952E-05;1.97278334501594E-05;1.89428101064166E-05;1.82192006654766E-05;1.75487340217541E-05;1.69248517737008E-05;1.63422283182801E-05;1.57964496520955E-05;1.52837940773055E-05;1.48010792126974E-05;1.43455527003215E-05;1.39148121117621E-05;1.35067447042663E-05;1.3119480963081E-05;1.27513579622466E-05;1.24008899084384E-05;1.20667440795371E-05;1.17477209119443E-05;1.14427373433955E-05;1.1150812753018E-05;1.08710570015052E-05;1.06026601881546E-05;1.03448838244444E-05;1.00970531858855E-05;9.85855065130726E-06;9.62880987545077E-06;9.40731066941208E-06;9.19357448601569E-06;8.98716042505248E-06;8.78766168755534E-06;8.59470241973434E-06;8.40793489646623E-06;8.227037001803E-06;8.05170997019064E-06;7.8816763572461E-06;7.71667821324127E-06;7.5564754360525E-06;7.40084428338199E-06;7.24957602664814E-06;7.10247573115282E-06;6.95936114903231E-06;6.82006171313436E-06;6.68441762137753E-06;6.55227900237747E-06;6.42350515419009E-06;6.29796384895282E-06;6.17553069701549E-06;6.05608856486206E-06;5.93952704174465E-06;5.82574195049631E-06;5.71463489846595E-06;5.60611286494004E-06;5.50008782178643E-06;5.39647638438268E-06;5.29519949018186E-06;5.19618210252603E-06;5.09935293754621E-06;5.00464421219243E-06;4.91199141161923E-06;4.82133307431551E-06;4.73261059351427E-06;4.64576803354886E-06;4.5607519599433E-06;4.39599710775332E-06;4.23796289111077E-06;4.0862972466683E-06;3.94067560245775E-06;3.66638533708172E-06;3.29343514727469E-06;2.8587611178844E-06;2.31798667145253E-06;1.82092327310031E-06;1.38702402451937E-06;9.91672436769239E-07;7.12170845315166E-07;5.13292266494089E-07;3.15560001110501E-07;1.94506292083387E-07;1.01835533209551E-07;5.28352003993952E-08;2.69959741395058E-08;9.47865471372969E-09;3.13343927024119E-09;6.34051170119439E-10;6.60266006234448E-11;2.50617966589153E-12;6.89412957217725E-15;4.99496638586372E-19;0;0;
Total;0.000284289930085073;3.9910821826381E-05;3.44004954881456E-05;3.10850713762628E-05;2.86469788203657E-05;2.67158493875567E-05;2.51203564327359E-05;2.37618348529907E-05;2.25782041883386E-05;2.15285562958627E-05;2.05849851804952E-05;1.97278334501594E-05;1.89428101064166E-05;1.82192006654766E-05;1.75487340217541E-05;1.69248517737008E-05;1.63422283182801E-05;1.57964496520955E-05;1.52837940773055E-05;1.48010792126974E-05;1.43455527003215E-05;1.39148121117621E-05;1.35067447042663E-05;1.3119480963081E-05;1.27513579622466E-05;1.24008899084384E-05;1.20667440795371E-05;1.17477209119443E-05;1.14427373433955E-05;1.1150812753018E-05;1.08710570015052E-05;1.06026601881546E-05;1.03448838244444E-05;1.00970531858855E-05;9.85855065130726E-06;9.62880987545077E-06;9.40731066941208E-06;9.19357448601569E-06;8.98716042505248E-06;8.78766168755534E-06;8.59470241973434E-06;8.40793489646623E-06;8.227037001803E-06;8.05170997019064E-06;7.8816763572461E-06;7.71667821324127E-06;7.5564754360525E-06;7.40084428338199E-06;7.24957602664814E-06;7.10247573115282E-06;6.95936114903231E-06;6.82006171313436E-06;6.68441762137753E-06;6.55227900237747E-06;6.42350515419009E-06;6.29796384895282E-06;6.17553069701549E-06;6.05608856486206E-06;5.93952704174465E-06;5.82574195049631E-06;5.71463489846595E-06;5.60611286494004E-06;5.50008782178643E-06;5.39647638438268E-06;5.29519949018186E-06;5.19618210252603E-06;5.09935293754621E-06;5.00464421219243E-06;4.91199141161923E-06;4.82133307431551E-06;4.73261059351427E-06;4.64576803354886E-06;4.5607519599433E-06;4.39599710775332E-06;4.23796289111077E-06;4.0862972466683E-06;3.94067560245775E-06;3.66638533708172E-06;3.29343514727469E-06;2.8587611178844E-06;2.31798667145253E-06;1.82092327310031E-06;1.38702402451937E-06;9.91672436769239E-07;7.12170845315166E-07;5.13292266494089E-07;3.15560001110501E-07;1.94506292083387E-07;1.01835533209551E-07;5.28352003993952E-08;2.69959741395058E-08;9.47865471372969E-09;3.13343927024119E-09;6.34051170119439E-10;6.60266006234448E-11;2.50617966589153E-12;6.89412957217725E-15;4.99496638586372E-19;0;0;
020-01-02-L;2.67893339255618E-06;4.88658742190725E-07;4.30016553020603E-07;3.93752742929831E-07;3.66686524312258E-07;3.44987470656494E-07;3.2686667854279E-07;3.11289862482383E-07;2.97603013812812E-07;2.85372741031589E-07;2.74301758163506E-07;2.64179587254049E-07;2.54852526265078E-07;2.46204898900523E-07;2.38147122321274E-07;2.30607976574761E-07;2.23529506080374E-07;2.16863594534781E-07;2.10569618311032E-07;2.04612803778869E-07;1.9896304989187E-07;1.93594062679112E-07;1.88482702505849E-07;1.83608479635365E-07;1.78953155763665E-07;1.74500423303013E-07;1.70235643186631E-07;1.66145627750372E-07;1.62218459026441E-07;1.58443335313576E-07;1.54810440629276E-07;1.51310832883448E-07;1.47936347512491E-07;1.4467951398589E-07;1.41533483111209E-07;1.38491963460663E-07;1.35549165552378E-07;1.3269975266307E-07;1.29938797341871E-07;1.27261742849167E-07;1.24664368868452E-07;1.22142760940032E-07;1.19693283147946E-07;1.17312553659624E-07;1.14997422774411E-07;1.1274495318449E-07;1.10552402191616E-07;1.08417205656841E-07;1.063369634892E-07;1.04309426503858E-07;1.02332484501399E-07;1.00404155438098E-07;9.85225755727529E-08;9.66859904893099E-08;9.48927469063231E-08;9.31412851946265E-08;9.14301325335435E-08;8.97578966438076E-08;8.81232600422012E-08;8.6524974768912E-08;8.49618575438489E-08;8.34327853127706E-08;8.19366911481336E-08;8.047256047314E-08;7.90394275806207E-08;7.76363724211929E-08;7.62625176376058E-08;7.49170258244037E-08;7.35990969940003E-08;7.23079662320188E-08;7.10429015263334E-08;6.98032017556476E-08;6.85881948247522E-08;6.62297059770162E-08;6.39625760368377E-08;6.17823118559512E-08;5.96847461765353E-08;5.57224678621427E-08;5.03103572787302E-08;4.3964115828083E-08;3.60032710190537E-08;2.86080360880107E-08;2.20732926547065E-08;1.60309301815899E-08;1.16875538070546E-08;8.54557913148851E-09;5.36010627238679E-09;3.36497168455258E-09;1.80112486862134E-09;9.53455479938991E-10;4.96390516208507E-10;1.78959617942966E-10;6.06565359225809E-11;1.26765349217165E-11;1.37741179302433E-12;5.55476444135201E-14;1.67205182251861E-16;1.08508976977371E-20;0;0;
020-02-01-Li;4.75796636752773E-05;8.27711252726526E-06;7.2366245051812E-06;6.59312098108588E-06;6.11392160112408E-06;5.7309266970842E-06;5.41208500500304E-06;5.13882508074656E-06;4.89940552450282E-06;4.68604918704689E-06;4.49342296646382E-06;4.31775143631604E-06;4.15627728554224E-06;4.00692475600511E-06;3.86808566838751E-06;3.73848092504736E-06;3.61706924095421E-06;3.5029858652286E-06;3.39550060725129E-06;3.29398844782038E-06;3.1979084602625E-06;3.10678829857661E-06;3.02021248242478E-06;2.93781332960565E-06;2.85926378232574E-06;2.78427162509912E-06;2.71257475216101E-06;2.64393724496364E-06;2.57814608732286E-06;2.51500839060822E-06;2.45434903225317E-06;2.39600863279184E-06;2.33984181266792E-06;2.28571568210227E-06;2.23350852652824E-06;2.18310865725572E-06;2.13441340261582E-06;2.08732821923985E-06;2.04176590661677E-06;1.99764591086254E-06;1.95489370588296E-06;1.91344024193719E-06;1.87322145310529E-06;1.83417781639765E-06;1.796253956271E-06;1.75939828917468E-06;1.72356270347448E-06;1.68870227071401E-06;1.65477498469517E-06;1.62174152530571E-06;1.58956504440491E-06;1.55821097140889E-06;1.52764683650251E-06;1.49784210965237E-06;1.4687680538104E-06;1.44039759088433E-06;1.41270517921443E-06;1.38566670143788E-06;1.35925936174637E-06;1.3334615916509E-06;1.30825296346332E-06;1.28361411078708E-06;1.25952665538385E-06;1.23597313984678E-06;1.2129369655687E-06;1.19040233554424E-06;1.16835420158943E-06;1.14677821560283E-06;1.12566068452724E-06;1.10498852870342E-06;1.08474924333535E-06;1.06493086281216E-06;1.04552192765538E-06;1.007888904572E-06;9.717675107386E-07;9.37081436126486E-07;9.03760019569016E-07;8.40953185750581E-07;7.55474727654028E-07;6.55750996635737E-07;5.31569724586515E-07;4.17345575886472E-07;3.17601352516461E-07;2.26719376930426E-07;1.62496193972903E-07;1.16836676266094E-07;7.15127701231955E-08;4.38432996661044E-08;2.27557332186085E-08;1.1682192539484E-08;5.89394130083934E-09;2.02127344956705E-09;6.48236495451907E-10;1.24170404456009E-10;1.16282344457364E-11;3.4663879909572E-13;3.73893147187419E-16;1.81048831382618E-21;0;0;
020-02-03-Lo;2.11070165976737E-06;3.98198252325093E-07;3.51033608801363E-07;3.2195094532977E-07;3.00229422375227E-07;2.82781924801219E-07;2.68184313348586E-07;2.55615614489455E-07;2.44556143278603E-07;2.34660983783291E-07;2.25693235846408E-07;2.17485018379411E-07;2.09913665275019E-07;2.02886833825004E-07;1.96333009515611E-07;1.90195343364902E-07;1.84427581302456E-07;1.78991326438536E-07;1.7385416206402E-07;1.68988337436401E-07;1.64369826093968E-07;1.5997763416443E-07;1.5579327928813E-07;1.51800388430641E-07;1.4798438056761E-07;1.44332211539108E-07;1.40832165608828E-07;1.37473682928537E-07;1.34247215161325E-07;1.31144103560701E-07;1.2815647520698E-07;1.25277154094353E-07;1.22499584482316E-07;1.19817764461603E-07;1.17226188092648E-07;1.14719794789059E-07;1.12293924863508E-07;1.09944280345819E-07;1.0766689033547E-07;1.05458080272622E-07;1.03314444609954E-07;1.0123282244745E-07;9.92102757576628E-08;9.72440698830277E-08;9.53316560316982E-08;9.34706555359997E-08;9.16588456692653E-08;8.9894146843656E-08;8.81746110344199E-08;8.64984112955911E-08;8.48638322489333E-08;8.32692614424092E-08;8.17131814869761E-08;8.01941628913717E-08;7.87108575239745E-08;7.72619926390387E-08;7.58463654117534E-08;7.44628379328196E-08;7.31103326186923E-08;7.17878279984166E-08;7.04943548421652E-08;6.92289926002705E-08;6.79908661247743E-08;6.67791426483758E-08;6.55930289981754E-08;6.44317690238515E-08;6.3294641221882E-08;6.21809565391925E-08;6.10900563411811E-08;6.00213105304746E-08;5.89741158040322E-08;5.79478940373314E-08;5.69420907854102E-08;5.49896321940011E-08;5.31127275988091E-08;5.13076640260354E-08;4.95709957495596E-08;4.62902343525268E-08;4.18084564885601E-08;3.6551980813083E-08;2.99554636639461E-08;2.38233790780093E-08;1.83995887306627E-08;1.33781335401883E-08;9.76344922583699E-09;7.14510454012163E-09;4.48671375572501E-09;2.81927835115206E-09;1.51063225135752E-09;8.00481195417433E-10;4.17196316397225E-10;1.50693802249742E-10;5.11960830708657E-11;1.07424342186023E-11;1.17565409089861E-12;4.81292413379155E-14;1.52714786272713E-16;1.23597213865512E-20;0;0;
020-03-01-Li;6.22197000606834E-05;9.78270215456585E-06;8.41392482619533E-06;7.57467294082006E-06;6.95443367812505E-06;6.46234638472918E-06;6.05556480916768E-06;5.70925288836869E-06;5.40771883661755E-06;5.14058015835927E-06;4.90072647840876E-06;4.683131410263E-06;4.48412941608068E-06;4.30096493818477E-06;4.13150595507791E-06;3.97405874395528E-06;3.82724593758361E-06;3.68992474508152E-06;3.56113100289294E-06;3.44004004784341E-06;3.32593868525723E-06;3.21820458085073E-06;3.11629070954818E-06;3.01971332629877E-06;2.92804245371299E-06;2.84089421767287E-06;2.75792457580445E-06;2.67882412061233E-06;2.60331372827732E-06;2.53114088371908E-06;2.4620765535532E-06;2.39591250769066E-06;2.33245901162036E-06;2.27154282740406E-06;2.21300547366071E-06;2.15670170431653E-06;2.10249817332249E-06;2.05027225838506E-06;1.99991102138812E-06;1.95131028688432E-06;1.90437382301374E-06;1.85901261162769E-06;1.81514419637633E-06;1.77269209915355E-06;1.73158529665128E-06;1.6917577499119E-06;1.6531479807245E-06;1.61569868952063E-06;1.57935641011529E-06;1.54407119722849E-06;1.50979634322934E-06;1.47648812098164E-06;1.44410555004673E-06;1.41261018382732E-06;1.3819659155195E-06;1.35213880098772E-06;1.32309689689287E-06;1.29481011259145E-06;1.26725007448799E-06;1.24039000166678E-06;1.21420459175445E-06;1.18866991607594E-06;1.16376332326331E-06;1.13946335056284E-06;1.11574964216129E-06;1.09260287391969E-06;1.07000468396209E-06;1.04793760862002E-06;1.02638502328053E-06;1.00533108772765E-06;9.84760695605293E-07;9.64659427663014E-07;9.45013508477404E-07;9.07035596248878E-07;8.70728180489385E-07;8.36000504507572E-07;8.02768915657786E-07;7.4049026428188E-07;6.56530386666378E-07;5.59862854193591E-07;4.41738574045247E-07;3.35807233539167E-07;2.46090642211319E-07;1.67432384346904E-07;1.14328194511076E-07;7.83299879913103E-08;4.46563889850949E-08;2.55627370441924E-08;1.21547124803003E-08;5.73448732896704E-09;2.66270280064502E-09;8.07032202766917E-10;2.29287199971842E-10;3.76503800195238E-11;2.94216319360081E-12;7.24055435923465E-14;6.26700759309724E-17;0;0;0;
