Pressure category #;0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99; 
Upper bound;0.025; 0.05; 0.075; 0.1; 0.125; 0.15; 0.175; 0.2; 0.225; 0.25; 0.275; 0.3; 0.325; 0.35; 0.375; 0.4; 0.425; 0.45; 0.475; 0.5; 0.525; 0.55; 0.575; 0.6; 0.625; 0.65; 0.675; 0.7; 0.725; 0.75; 0.775; 0.8; 0.825; 0.85; 0.875; 0.9; 0.925; 0.95; 0.975; 1; 1.025; 1.05; 1.075; 1.1; 1.125; 1.15; 1.175; 1.2; 1.225; 1.25; 1.275; 1.3; 1.325; 1.35; 1.375; 1.4; 1.425; 1.45; 1.475; 1.5; 1.525; 1.55; 1.575; 1.6; 1.625; 1.65; 1.675; 1.7; 1.725; 1.75; 1.775; 1.8; 1.85; 1.9; 1.95; 2; 2.1; 2.25; 2.45; 2.75; 3.1; 3.5; 4; 4.5; 5; 5.75; 6.5; 7.5; 8.5; 9.5; 11; 12.5; 14.5; 17; 20; 24; 28; 33; 38; 45; 
Small;0.000342081990314668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Medium;7.86189521354376E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Major;0.000141398457000647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Large;0.000609270269434886;0.000138296826657523;0.000116949190756165;0.000104259701513583;9.5140258406548E-05;8.80665524252321E-05;8.23205213866608E-05;7.74925192472191E-05;7.33291756137642E-05;6.96665783994003E-05;6.63949148685343E-05;6.34381369090984E-05;6.07418059325319E-05;5.82656576084885E-05;5.5978965808522E-05;5.38575971221129E-05;5.18821034732907E-05;5.00364626255222E-05;4.83072292929817E-05;4.66829501208243E-05;4.51537504387282E-05;4.37110343819525E-05;4.23472611228195E-05;4.10557733392833E-05;3.98306625014969E-05;3.86666608708618E-05;3.75590534403363E-05;3.65036051493501E-05;3.54965000561671E-05;3.45342900380219E-05;3.36138511913688E-05;3.273234652648E-05;3.18871938560715E-05;3.10760380053886E-05;3.02967266448424E-05;2.95472891805559E-05;2.88259182428592E-05;2.81309533949922E-05;2.74608667493282E-05;2.68142502303296E-05;2.6189804265206E-05;2.55863277171336E-05;2.50027089036384E-05;2.44379175656432E-05;2.38909976717126E-05;2.33610609579689E-05;2.28472811175712E-05;2.23488885650228E-05;2.18651657102583E-05;2.13954426857456E-05;2.09390934769564E-05;2.04955324126967E-05;2.00642109770811E-05;1.96446149095419E-05;1.9236261563235E-05;1.88386974956856E-05;1.84514962685237E-05;1.80742564357963E-05;1.77065997026349E-05;1.73481692380679E-05;1.69986281275181E-05;1.66576579520725E-05;1.63249574829605E-05;1.60002414808696E-05;1.56832395907803E-05;1.53736953239305E-05;1.50713651193432E-05;1.47760174780864E-05;1.44874321640842E-05;1.42053994658794E-05;1.39297195142711E-05;1.36602016512132E-05;1.33966638457886E-05;1.28868402148938E-05;1.23989453364383E-05;1.19317832178397E-05;1.14842527913359E-05;1.06440948026297E-05;9.50795337358198E-06;8.19364390228542E-06;6.57540742049292E-06;5.10762380117106E-06;3.84541138227777E-06;2.71494680939336E-06;1.93005371606752E-06;1.38050111911722E-06;8.4284936969116E-07;5.18363724891582E-07;2.72027485376579E-07;1.41971375613659E-07;7.30816679989576E-08;2.59625936852473E-08;8.68172813672031E-09;1.78413590905764E-09;1.89998376556248E-10;7.47691445831253E-12;2.17322129042832E-14;1.38819627614986E-18;0;0;
Total;0.00117136966888564;0.000138296826657523;0.000116949190756165;0.000104259701513583;9.5140258406548E-05;8.80665524252321E-05;8.23205213866608E-05;7.74925192472191E-05;7.33291756137642E-05;6.96665783994003E-05;6.63949148685343E-05;6.34381369090984E-05;6.07418059325319E-05;5.82656576084885E-05;5.5978965808522E-05;5.38575971221129E-05;5.18821034732907E-05;5.00364626255222E-05;4.83072292929817E-05;4.66829501208243E-05;4.51537504387282E-05;4.37110343819525E-05;4.23472611228195E-05;4.10557733392833E-05;3.98306625014969E-05;3.86666608708618E-05;3.75590534403363E-05;3.65036051493501E-05;3.54965000561671E-05;3.45342900380219E-05;3.36138511913688E-05;3.273234652648E-05;3.18871938560715E-05;3.10760380053886E-05;3.02967266448424E-05;2.95472891805559E-05;2.88259182428592E-05;2.81309533949922E-05;2.74608667493282E-05;2.68142502303296E-05;2.6189804265206E-05;2.55863277171336E-05;2.50027089036384E-05;2.44379175656432E-05;2.38909976717126E-05;2.33610609579689E-05;2.28472811175712E-05;2.23488885650228E-05;2.18651657102583E-05;2.13954426857456E-05;2.09390934769564E-05;2.04955324126967E-05;2.00642109770811E-05;1.96446149095419E-05;1.9236261563235E-05;1.88386974956856E-05;1.84514962685237E-05;1.80742564357963E-05;1.77065997026349E-05;1.73481692380679E-05;1.69986281275181E-05;1.66576579520725E-05;1.63249574829605E-05;1.60002414808696E-05;1.56832395907803E-05;1.53736953239305E-05;1.50713651193432E-05;1.47760174780864E-05;1.44874321640842E-05;1.42053994658794E-05;1.39297195142711E-05;1.36602016512132E-05;1.33966638457886E-05;1.28868402148938E-05;1.23989453364383E-05;1.19317832178397E-05;1.14842527913359E-05;1.06440948026297E-05;9.50795337358198E-06;8.19364390228542E-06;6.57540742049292E-06;5.10762380117106E-06;3.84541138227777E-06;2.71494680939336E-06;1.93005371606752E-06;1.38050111911722E-06;8.4284936969116E-07;5.18363724891582E-07;2.72027485376579E-07;1.41971375613659E-07;7.30816679989576E-08;2.59625936852473E-08;8.68172813672031E-09;1.78413590905764E-09;1.89998376556248E-10;7.47691445831253E-12;2.17322129042832E-14;1.38819627614986E-18;0;0;
020-01-02-L;1.12242586301479E-05;1.93686467933327E-06;1.69342993218745E-06;1.54287224398923E-06;1.43075472370327E-06;1.34114502145096E-06;1.26654452896225E-06;1.20260832824419E-06;1.14658943462039E-06;1.09666832579315E-06;1.05159728056039E-06;1.0104930065056E-06;9.72710406486082E-07;9.37763837681046E-07;9.05277050939591E-07;8.74950788430678E-07;8.46541430599623E-07;8.19846659618929E-07;7.9469563927119E-07;7.70942139190447E-07;7.48459603276959E-07;7.27137520561169E-07;7.06878684370046E-07;6.87597070893959E-07;6.69216160824002E-07;6.51667586573257E-07;6.34890025041575E-07;6.18828279906748E-07;6.03432513100197E-07;5.88657595612306E-07;5.74462554998013E-07;5.60810102084068E-07;5.47666223131721E-07;5.34999826525826E-07;5.22782435218974E-07;5.1098791783252E-07;4.9959225262448E-07;4.88573319564047E-07;4.77910716569137E-07;4.67585596615972E-07;4.57580522955632E-07;4.4787934009968E-07;4.38467058586977E-07;4.29329751832644E-07;4.20454463600335E-07;4.11829124840011E-07;4.03442478802645E-07;3.95284013486652E-07;3.87343900592912E-07;3.79612940269589E-07;3.72082511017692E-07;3.64744524205569E-07;3.57591382707311E-07;3.50615943238004E-07;3.43811482008997E-07;3.37171663370131E-07;3.3069051114397E-07;3.2436238239034E-07;3.18181943368489E-07;3.12144147489636E-07;3.06244215074884E-07;3.00477614753064E-07;2.94840046350243E-07;2.89327425137777E-07;2.83935867319174E-07;2.78661676647893E-07;2.73501332078683E-07;2.68451476364451E-07;2.63508905518958E-07;2.58670559073084E-07;2.53933511059093E-07;2.4929496166324E-07;2.44752229492593E-07;2.35944040867322E-07;2.2748960271632E-07;2.19371059083491E-07;2.11571875705049E-07;1.96871224802287E-07;1.76863720091826E-07;1.53521405363134E-07;1.24453448118949E-07;9.77151620482338E-08;7.43653330231312E-08;5.3088913521776E-08;3.80526126985622E-08;2.73618438195523E-08;1.67488284592585E-08;1.02691718012637E-08;5.33040353186199E-09;2.73669390172197E-09;1.38081905845535E-09;4.73580850053339E-10;1.51891749673579E-10;2.90972082744766E-11;2.7250490941235E-12;8.12359379107701E-14;8.76046170153128E-17;4.23570597169218E-22;0;0;
020-02-01-Li;0.000192851861656121;2.59894782611673E-05;2.18154629191937E-05;1.92897145822221E-05;1.74443091072201E-05;1.59958887622206E-05;1.48108137954342E-05;1.38117057630464E-05;1.29497571262774E-05;1.21927336851167E-05;1.15186038775041E-05;1.09118264562869E-05;1.03610928029506E-05;9.85792037088025E-06;9.39575987658892E-06;8.96941857382583E-06;8.57468109390684E-06;8.2080555566246E-06;7.86660016395236E-06;7.54780214274101E-06;7.24949116248366E-06;6.96977578117314E-06;6.70699554879272E-06;6.45968399618625E-06;6.22653938985456E-06;6.00640118115223E-06;5.79823074310839E-06;5.60109541300882E-06;5.4141551350852E-06;5.2366511818058E-06;5.06789655879246E-06;4.90726778807706E-06;4.75419782995102E-06;4.60816995286632E-06;4.46871239854199E-06;4.33539371866724E-06;4.20781868244351E-06;4.08562467218552E-06;3.9684784984445E-06;3.85607357748785E-06;3.74812742312253E-06;3.644379412278E-06;3.54458878984576E-06;3.44853288328778E-06;3.35600550169554E-06;3.26681549746811E-06;3.18078547171389E-06;3.09775060696675E-06;3.0175576129241E-06;2.94006377272497E-06;2.86513607884196E-06;2.79265044900162E-06;2.72249101370708E-06;2.65454946794225E-06;2.58872448050922E-06;2.5249211552108E-06;2.46305053875138E-06;2.40302917080734E-06;2.34477867222187E-06;2.28822536772152E-06;2.23329993993727E-06;2.17993711185363E-06;2.12807535510718E-06;2.07765662181963E-06;2.02862609788261E-06;1.98093197581794E-06;1.93452524551916E-06;1.88935950134326E-06;1.84539076416598E-06;1.802577317144E-06;1.76087955404285E-06;1.72025983909353E-06;1.68068237743561E-06;1.60451952904003E-06;1.53213713241211E-06;1.46330396592134E-06;1.39780873757662E-06;1.27607283690659E-06;1.1141317933395E-06;9.3102756312063E-07;7.12834971310368E-07;5.23486372765508E-07;3.69187988770278E-07;2.40145143376026E-07;1.57609817565692E-07;1.04561292478555E-07;5.77920704842655E-08;3.28051634461655E-08;1.59187367784646E-08;7.86070355929811E-09;3.87052145602731E-09;1.29005060372313E-09;4.02064374640605E-10;7.39631604124745E-11;6.57514874447431E-12;1.84196965881133E-13;1.69009965176442E-16;0;0;0;
020-02-03-Lo;8.86311412256815E-06;1.62668757628348E-06;1.43205741363851E-06;1.31164062014281E-06;1.22172330871807E-06;1.14960572026029E-06;1.08935732363984E-06;1.03754941802018E-06;9.92013908216093E-07;9.51313970207404E-07;9.14463893692015E-07;8.80765677218921E-07;8.49709491515362E-07;8.2091154065593E-07;7.94074521117641E-07;7.68962005882013E-07;7.45381550532943E-07;7.23173344039739E-07;7.02202432634446E-07;6.82353275608619E-07;6.63525842339978E-07;6.45632742515029E-07;6.28597061194701E-07;6.12350685223672E-07;5.96832980818283E-07;5.819897288774E-07;5.67772254346779E-07;5.54136705112322E-07;5.41043448405536E-07;5.28456561075018E-07;5.16343395840169E-07;5.0467420972733E-07;4.93421843867393E-07;4.82561446063726E-07;4.72070229242249E-07;4.61927260213155E-07;4.52113274202278E-07;4.42610511418962E-07;4.33402572568423E-07;4.24474290728812E-07;4.15811617425873E-07;4.07401521073253E-07;3.99231896221042E-07;3.91291482281625E-07;3.83569790590222E-07;3.76057038815058E-07;3.6874409186464E-07;3.61622408551955E-07;3.5468399337093E-07;3.47921352822196E-07;3.41327455795416E-07;3.34895697575854E-07;3.28619867095136E-07;3.22494117091477E-07;3.16512936883926E-07;3.10671127499445E-07;3.04963778921419E-07;2.99386249254228E-07;2.93934145621203E-07;2.8860330663322E-07;2.83389786282556E-07;2.78289839131995E-07;2.7329990668259E-07;2.68416604815384E-07;2.63636712212881E-07;2.58957159675325E-07;2.54375020255133E-07;2.49887500140115E-07;2.45491930222702E-07;2.41185758298211E-07;2.36966541840439E-07;2.32831941307546E-07;2.28779713935496E-07;2.20913857370705E-07;2.13352756846157E-07;2.06081417181651E-07;1.99085930414246E-07;1.85871643982632E-07;1.67822302912564E-07;1.46657710241111E-07;1.20108064128241E-07;9.54436369911487E-08;7.36474439189657E-08;5.34914197769324E-08;3.90011215988829E-08;2.8517795089441E-08;1.78882116395906E-08;1.12300433733131E-08;6.01087641766416E-09;3.1818280941411E-09;1.65643327801032E-09;5.97108946442321E-10;2.02350962312822E-10;4.22757209027387E-11;4.59069147028801E-12;1.84892041534608E-13;5.55085402469356E-16;3.5979292366181E-20;0;0;
020-03-01-Li;0.000257347514975161;3.42753948563886E-05;2.86699310886247E-05;2.52783341592889E-05;2.28017930735418E-05;2.08598589438339E-05;1.92727057494864E-05;1.7936088331248E-05;1.67842234192383E-05;1.57736594181301E-05;1.48746970817525E-05;1.4066386311002E-05;1.33334825738845E-05;1.26645507671353E-05;1.20507618002329E-05;1.14851153190527E-05;1.09619287271025E-05;1.04764950229538E-05;1.00248490807046E-05;9.60360446001088E-06;9.20983666423348E-06;8.8409974270674E-06;8.49485010046656E-06;8.1694197164162E-06;7.86295352086603E-06;7.57388918906886E-06;7.30082882649739E-06;7.04251743158396E-06;6.79782486848269E-06;6.56573064614167E-06;6.34531097053229E-06;6.1357276578482E-06;5.93621858492812E-06;5.74608941957939E-06;5.564706424379E-06;5.39149016701403E-06;5.22591000108762E-06;5.06747920559954E-06;4.91575069055057E-06;4.77031319147885E-06;4.63078788810088E-06;4.49682539226383E-06;4.36810305863E-06;4.24432257828893E-06;4.12520782112379E-06;4.01050289746854E-06;3.89997041355776E-06;3.79338989862839E-06;3.69055638439161E-06;3.59127912003757E-06;3.49538040803627E-06;3.40269454780825E-06;3.31306687590288E-06;3.22635289267987E-06;3.14241746666625E-06;3.06113410878708E-06;2.98238430956019E-06;2.90605693312463E-06;2.83204766265217E-06;2.76025849228684E-06;2.69059726127806E-06;2.6229772264313E-06;2.55731666940195E-06;2.49353853571331E-06;2.43157010269204E-06;2.37134267379281E-06;2.31279129702894E-06;2.25585450544523E-06;2.20047407776438E-06;2.14659481751231E-06;2.09416434908434E-06;2.04313292935347E-06;1.99345327355029E-06;1.89797145242116E-06;1.80738394998637E-06;1.72138603159308E-06;1.63969950657573E-06;1.48826217097325E-06;1.28769759724197E-06;1.06237643614516E-06;7.9649409828294E-07;5.69038342909241E-07;3.87191997678061E-07;2.39177083576715E-07;1.47952459592437E-07;9.18965652026647E-08;4.56144181557259E-08;2.31771981518167E-08;9.77498429504513E-09;4.2560826511344E-09;1.86487019310815E-09;5.20067795971449E-10;1.32554111819247E-10;1.7609892957993E-11;8.85779040547727E-13;7.25848545810697E-15;4.22529209340038E-20;0;0;0;
