Strong explosion frequency;
Leak category; Total; Event; Continuous; Discrete; Early; Intermediate; Late; 020-01-02-L; 020-02-01-Li; 020-02-03-Lo; 020-03-01-Li; 020-03-03-Lo; 020-04-01-L; 020-05-02-L; 023-01-02-L; 023-02-02-L; 023-03-02-L; 023-03-03-L; 024-01-02-L; 024-03-02-L; 025-01-02-L; 025-02-02-L; 045-02-02-L; 046-02-L; 046-03-L; 021-01-01-L; 046-01-01-L; 046-01-02-L; 046-01-03-L; 046-01-04-L; 062-01-01-L; 043-01-02-L; 043-02-02-L; 
Small; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Medium; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Major; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Large; 8.59470241973434E-06; 1.10210473547897E-07; 7.64438244187942E-06; 8.40109504307017E-07; 6.56943633963642E-06; 1.89306134108594E-06; 1.32204739011987E-07; 1.24664368868452E-07; 1.95489370588296E-06; 1.03314444609954E-07; 1.90437382301374E-06; 2.5581437603996E-07; 3.70400682026997E-06; 4.26628380721476E-07; 1.00823739345614E-08; 7.20169566754388E-10; 1.58437304685965E-09; 1.87244087356141E-09; 5.03615607232597E-09; 5.61732262068423E-09; 3.95878323815443E-08; 2.8204470423014E-08; 1.58437304685965E-09; 1.44033913350878E-10; 2.88067826701755E-10; 1.44033913350878E-10; 4.17698348717545E-09; 1.44033913350878E-10; 2.88067826701755E-10; 1.44033913350878E-10; 4.46505131387721E-09; 1.69226822538084E-08; 0;
Total; 8.59470241973434E-06; 1.10210473547897E-07; 7.64438244187942E-06; 8.40109504307017E-07; 6.56943633963642E-06; 1.89306134108594E-06; 1.32204739011987E-07; 1.24664368868452E-07; 1.95489370588296E-06; 1.03314444609954E-07; 1.90437382301374E-06; 2.5581437603996E-07; 3.70400682026997E-06; 4.26628380721476E-07; 1.00823739345614E-08; 7.20169566754388E-10; 1.58437304685965E-09; 1.87244087356141E-09; 5.03615607232597E-09; 5.61732262068423E-09; 3.95878323815443E-08; 2.8204470423014E-08; 1.58437304685965E-09; 1.44033913350878E-10; 2.88067826701755E-10; 1.44033913350878E-10; 4.17698348717545E-09; 1.44033913350878E-10; 2.88067826701755E-10; 1.44033913350878E-10; 4.46505131387721E-09; 1.69226822538084E-08; 0;


Strong explosion probability;
Leak category; Total; Event; Continuous; Discrete; Early; Intermediate; Late; 020-01-02-L; 020-02-01-Li; 020-02-03-Lo; 020-03-01-Li; 020-03-03-Lo; 020-04-01-L; 020-05-02-L; 023-01-02-L; 023-02-02-L; 023-03-02-L; 023-03-03-L; 024-01-02-L; 024-03-02-L; 025-01-02-L; 025-02-02-L; 045-02-02-L; 046-02-L; 046-03-L; 021-01-01-L; 046-01-01-L; 046-01-02-L; 046-01-03-L; 046-01-04-L; 062-01-01-L; 043-01-02-L; 043-02-02-L; 
Small; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Medium; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Major; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Large; 0.0563487193563521; 0.00124849805955097; 0.129602215212321; 0.159439173095198; 0.045430972968577; 0.327427225813027; 0.0616969369792148; 0.0816493483404173; 0.0724764173441543; 0.0845512732404695; 0.0544497920152108; 0.0855063561182435; 0.0854666227881248; 0.0794370018475128; 0.00129155460285024; 0.00125571357437123; 0.00123203306205377; 0.00123215247420272; 0.00138529524119213; 0.00129113603394562; 0.0109843315233958; 0.0101997586893713; 0.00129112494192179; 0.00121668699943496; 0.00123205836915957; 0.0012755748459495; 0.00125831596518146; 0.00129155982202681; 0.00126876149276808; 0.00126881457936655; 0.00128834233139616; 0.0101998809832011; 0;
Total; 0.0302321732506051; 0.000506626936088962; 0.125067507959945; 0.149216171318586; 0.023931138460763; 0.257473314193293; 0.0545553265712403; 0.046535075942855; 0.0410867491461217; 0.0489479146102252; 0.0306072485266947; 0.0532648270942291; 0.0509356782013863; 0.0418032565904818; 0.000549663786689533; 0.000654488859135135; 0.000586175095775032; 0.000570714036403902; 0.000578895270386061; 0.000527650719774316; 0.00518350008604756; 0.00465433442278213; 0.000581542245354794; 0.000575553991010983; 0.000483187024883412; 0.000588783531678672; 0.000663497758807762; 0.000591807203895424; 0.000565726869867421; 0.000586952322923449; 0.000591100105136087; 0.00471587702739364; 0;
