Strong explosion frequency;
Leak category; Total; Event; Continuous; Discrete; Early; Intermediate; Late; 020-01-02-L; 020-02-01-Li; 020-02-03-Lo; 020-03-01-Li; 020-03-03-Lo; 020-04-01-L; 020-05-02-L; 023-01-02-L; 023-02-02-L; 023-03-02-L; 023-03-03-L; 024-01-02-L; 024-03-02-L; 025-01-02-L; 025-02-02-L; 045-02-02-L; 046-02-L; 046-03-L; 021-01-01-L; 046-01-01-L; 046-01-02-L; 046-01-03-L; 046-01-04-L; 062-01-01-L; 043-01-02-L; 043-02-02-L; 
Small; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Medium; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Major; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Large; 2.6189804265206E-05; 4.14437797875326E-07; 2.3802523313136E-05; 1.97284315419461E-06; 1.95657072354222E-05; 6.60198807226891E-06; 2.21089575148928E-08; 4.57580522955632E-07; 3.74812742312253E-06; 4.15811617425873E-07; 4.63078788810088E-06; 1.01860266129362E-06; 1.47397796869547E-05; 1.17025532225026E-06; 0; 0; 0; 0; 1.08742009513865E-18; 0; 3.97134001098486E-09; 3.05487693152681E-09; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1.83292615891609E-09; 0;
Total; 2.6189804265206E-05; 4.14437797875326E-07; 2.3802523313136E-05; 1.97284315419461E-06; 1.95657072354222E-05; 6.60198807226891E-06; 2.21089575148928E-08; 4.57580522955632E-07; 3.74812742312253E-06; 4.15811617425873E-07; 4.63078788810088E-06; 1.01860266129362E-06; 1.47397796869547E-05; 1.17025532225026E-06; 0; 0; 0; 0; 1.08742009513865E-18; 0; 3.97134001098486E-09; 3.05487693152681E-09; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1.83292615891609E-09; 0;


Strong explosion probability;
Leak category; Total; Event; Continuous; Discrete; Early; Intermediate; Late; 020-01-02-L; 020-02-01-Li; 020-02-03-Lo; 020-03-01-Li; 020-03-03-Lo; 020-04-01-L; 020-05-02-L; 023-01-02-L; 023-02-02-L; 023-03-02-L; 023-03-03-L; 024-01-02-L; 024-03-02-L; 025-01-02-L; 025-02-02-L; 045-02-02-L; 046-02-L; 046-03-L; 021-01-01-L; 046-01-01-L; 046-01-02-L; 046-01-03-L; 046-01-04-L; 062-01-01-L; 043-01-02-L; 043-02-02-L; 
Small; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Medium; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Major; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
Large; 0.0429855280637569; 0.00110126780420759; 0.108548214876307; 0.144406649315314; 0.0334429940336577; 0.316961778928639; 0.00651263618871761; 0.0725007758832354; 0.0357123915873087; 0.081962199593041; 0.0328614511225449; 0.0822793382273559; 0.0822415622554501; 0.0544457056309348; 0; 0; 0; 0; 7.75847923564878E-14; 0; 0.000287246435838183; 0.000287305299681508; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0.000287327256553539; 0;
Total; 0.0223582742159622; 0.000446882499488846; 0.104219355107407; 0.126600027962517; 0.0171797792838127; 0.239837105244; 0.00445503496480833; 0.0407671043614934; 0.0194352670020158; 0.0469148441141123; 0.0179942980547057; 0.0506730478555492; 0.0484080867830033; 0.0277894131005121; 0; 0; 0; 0; 3.05398796185947E-14; 0; 0.000127991395840544; 0.000123772775753761; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0.000125491260500783; 0;
